docid	prececl
23549581	0.266666666667	0.733333333333
11401641	0	0
22744141	0.0	0
20739054	0.444444444444	0.333333333333
16427787	0.0	0
24350813	0.0	0
21211686	1.0	0.25
24960665	0.0	0
7844976	0.777777777778	0.666666666667
2188766	0.0	0
24726342	0.0	0
23103798	0.0	0
25931290	0.0	0
18503531	0.0	0
8989009	0.0	0
15133359	0.0	0
23838728	0.0	0
11454878	1.0	0.0504201680672
18077611	0.0	0
25950425	0.698863636364	0.857142857143
21491990	0.0	0
14739125	0.0	0
3067745	0.833333333333	0.333333333333
21982657	0.0	0
14763035	0.0	0
8726604	0.333333333333	0.117647058824
20226474	0.0	0
11737955	0.85	0.55
10934569	0.0	0
21924760	0.0	0
10475150	0.507936507937	0.352380952381
20147856	0.8	0.333333333333
10589810	0.0	0
2088233	0.0	0
10940525	0	0
18337284	0	0
19727232	0.0	0
20804366	0.5	0.5
23114870	0.0	0
19802506	0.555555555556	0.333333333333
25886492	0.0	0
19376304	0.0	0
21914768	0.0	0
15358868	0.0	0
21393467	0.0	0
20509069	0.0	0
11229858	0.0	0
16505427	0.333333333333	0.6
4919024	0.0	0
22865017	1.0	0.145833333333
10763172	0.833333333333	0.535714285714
18783504	0.294117647059	0.25
25898782	0.0	0
11495215	0.5	0.9
18773733	0.0	0
23985254	0.263888888889	1.0
7808649	0.0	0
24989854	0.0	0
22154769	0.0	0
7853069	0.0	0
1968178	0.0	0
12709693	0.488888888889	0.230158730159
23849147	0.0	0
23021296	0.0	0
22881991	0.0	0
25479285	0.0	0
9394106	0.5	0.136363636364
23356250	0.0	0
1669598	0.0	0
10578479	0	0
15014018	0.0	0
16295154	0.0	0
3074300	0	0
9816035	0.6	0.5
18845996	0.821428571429	0.95
19159999	0.785714285714	0.3125
8519720	0.684210526316	0.725
1286547	0.571428571429	0.666666666667
26210844	0.0	0
8913901	0.0	0
6421395	0.0	0
9695300	0.222222222222	0.2
16167234	0.333333333333	0.0769230769231
1963383	0.0	0
2908133	0.0	0
12595499	0.0	0
22956006	0.828282828283	0.5
9481998	0.0	0
21718094	0.727272727273	0.333333333333
11891832	0.0	0
12960652	0.0	0
2066441	0.0	0
17897478	1.0	0.428571428571
22341427	0.0	0
18544974	0.540909090909	0.548076923077
384815	0.8	0.4
20943715	0.794117647059	0.310344827586
24080592	0.454545454545	0.666666666667
14679127	0.0	0
25784723	1.0	0.0769230769231
25068497	0.0	0
17321989	0.666666666667	0.5
21975269	0.0	0
25885649	0.0	0
24803369	0.0	0
15193668	0.666666666667	0.48
20560622	0.0	0
8916620	0.0	0
19108790	0.333333333333	0.16
19708562	0.0	0
22271197	0.0	0
22538329	0.0	0
2678230	0.0	0
3534803	0.232142857143	1.0
21106663	0.0	0
25369243	0.0	0
17293018	0.384615384615	0.208333333333
6938020	1.0	0.55
12576806	0.0	0
11381289	0.0	0
12477021	0.0	0
24515505	0.0	0
9730996	0.0	0
21866656	0.0	0
19301724	0.666666666667	0.166666666667
7827398	0.0	0
8779382	0.0	0
1131298	0.0	0
11750293	0.0	0
2223363	0.0	0
9573502	0.0	0
1780092	0.0	0
15848261	0.0	0
23417625	0.0	0
17616069	0.0	0
18958161	0.0	0
10764172	0.0	0
12139812	0.0	0
6989377	0.0	0
3081600	0.0	0
8771302	0.0	0
2803397	0.711538461538	0.465909090909
26278470	1.0	0.171428571429
19096921	1.0	0.5
7598243	0.263157894737	0.714285714286
21896676	0.0	0
22897461	0.709821428571	0.380952380952
10752495	0.0	0
23392542	0.461538461538	0.181818181818
9229602	0.0	0
15854186	0.9	0.75
22435114	0.8	0.412698412698
6920252	0	0
7017018	0.0	0
3919804	0.0	0
16055807	0.0	0
10390665	0.666666666667	0.285714285714
10070173	0.75	0.2
12586799	0.277777777778	0.5
18975051	0.0	0
22416755	0.0	0
21029638	0.0	0
6951573	0.0	0
1459268	0.0	0
11642083	0.0	0
24451919	1.0	0.666666666667
7831628	0.0	0
24317958	0.0	0
8911222	0.0	0
8911223	0.0	0
20618920	0.0	0
18189160	0.0	0
11317090	0.0	0
7707420	0.0	0
21669557	0.0	0
22420121	0.0	0
6418441	0.0	0
18229990	0.0	0
22646975	0.0	0
23357440	0.8	0.25
7814711	1.0	0.333333333333
24660757	0.0	0
361799	0.0	0
21170734	0.0	0
24075141	0.0	0
10912743	0	0
20189026	0.0	0
15858959	0.166666666667	0.25
11829043	0.0	0
11099086	0.451282051282	0.666666666667
2224060	0.0	0
mean	0.198185757012	0.134546982511
mean_2	0.641584399819	0.435567350162
percent	30.890052356
